codice_sku,nome_prodotto,marca,categoria,sottocategoria,unita_misura,quantita_disponibile,quantita_minima,stato_scorte,prezzo_acquisto_eur,prezzo_vendita_eur,margine_pct,iva_pct,fornitore,scaffale,data_scadenza
SKU10000,Aceto di vino bianco 500ml,Bertolli,Condimenti e Spezie,Olio,g,188,9,OK,20.84,26.01,24.8,10,Continental Trade,B08,2028-05-20
SKU10007,Mele Fuji,EasyShop,Frutta e Verdura,Funghi,conf,50,22,OK,6.74,9.37,39.0,4,Mediterr. Foods,K01,2026-07-02
SKU10008,Pastiglie lavastoviglie x30,Regina,Pulizia Casa,Detersivi lavatrice,ml,86,29,OK,9.72,11.78,21.2,22,Frigo Transport SpA,B10,2029-06-30
SKU10014,Aranciata Sanpellegrino 330ml,Nestlé Pure Life,Bevande,Succhi,cl,20,17,OK,20.51,27.99,36.5,22,Fresh Logistics Srl,D05,2028-12-13
SKU10016,Patate dolci,Benessere,Frutta e Verdura,Erbe aromatiche,pz,97,8,OK,27.59,41.17,49.2,4,Macro Distribuzione,C12,2026-07-03
SKU10022,Salmone affumicato,MarcaRe,Pesce,Pesce fresco,g,62,28,OK,17.17,20.92,21.8,10,Frigo Transport SpA,E10,2026-07-08
SKU10031,Gamberi surgelati,Rio Mare,Pesce,Pesce conservato,kg,102,15,OK,6.64,7.72,16.3,10,BioItalia Srl,J11,2026-07-09
SKU10037,Trota filetto,Callipo,Pesce,Pesce fresco,kg,67,9,OK,24.81,34.91,40.7,10,Continental Trade,J03,2026-07-02
SKU10044,Succo di mela,Sprite,Bevande,Acqua,L,126,21,OK,6.38,9.88,54.9,22,Nord Food SpA,C10,2028-09-25
SKU10047,Sacchi immondizia 30L x30,Regina,Pulizia Casa,Superfici,rotoli,119,24,OK,16.82,21.93,30.4,22,Distribuzione Sud Srl,L10,2028-02-15
SKU10056,Candeggina classica 1L,Scottex,Pulizia Casa,Superfici,rotoli,0,19,ESAURITO,3.39,4.49,32.4,22,Agrimax Coop,I10,2028-01-29
SKU10061,Pepe nero macinato,Star,Condimenti e Spezie,Olio,g,138,10,OK,5.81,7.55,29.9,10,Macro Distribuzione,I06,2026-10-13
